#,Year,TEAM,PLAYER SELECTED,PICK GRADE,INSTANT ANALYSIS
1,2020,Minnesota,Anthony Edwards,A,"It is extremely rare to see a consensus No. 1 overall pick generate such varying scouting assessments. From the right angle, Anthony Edwards looks like a next-generation Dwyane Wade. From another, he looks more like Dion Waiters. When he's at his best, Edwards is a fearsome slasher with second-to-none body control and dynamite athleticism. He is absolutely enormous for a wing – he looks more like a running back than a shooting guard. He destroyed the P3 measurements in terms of his ability to accelerate and decelerate, but his effort level at Georgia was as inconsistent as his perimeter jumper. He makes a lot of sense as this draft's top pick, because his upside at a valuable position is unrivaled. If he hits his ceiling, Edwards is one of the only players in this draft who could qualify for multiple All-Star teams, and he is an ideal fit alongside Karl-Anthony Towns."
2,2020,Golden State,James Wiseman,A-,"James Wiseman's value can only be determined through the eye of the beholder. There are less than 10 human beings walking the earth with Wiseman's combination of height, length, all-around skill, and athleticism. If he puts it all together, Wiseman could be a healthier Joel Embiid without the addiction to Twitter and Shirley Temples. But if his effort level wanes, we could see another Hassan Whiteside type of center who hoards stats in losing efforts. Wiseman's full potential, however? All-Star berths, All-NBA Teams, and All-NBA Defensive Teams. He will have every opportunity to reach his full potential with the Warriors. If Golden State elects to hang onto Wiseman, it's hard to envision a better situation for him to develop – excellent coaching, Hall-of-Fame teammates, and Draymond Green ensuring that Wiseman won't take plays off."
3,2020,Charlotte,LaMelo Ball,B+,"Just watch him pass. Forget about the terrible Australian league games, where his shot selection was allowed to deteriorate. Forget about his father's traveling circus. Forget about lackluster Zoom meetings or the fact that he hasn't played a meaningful basketball game in years. Just watch him grab a rebound in traffic and survey the floor with his 6-8 frame. Watch him set up the offense as if he is a 10-year NBA veteran. Watch him wiggle and maneuver through creases and spot teammates who don't even know they're open. The best version of LaMelo Ball is everything a team needs to win at a high level – savvy playmaking and an approach that makes everyone around him better. His floor? You saw how his older brother looked during the Pelicans' disappointing run in the bubble. But that passing is the single-best skill any player has in this draft. The Hornets desperately need a star, and Ball brings serious star potential."
4,2020,Chicago,Patrick Williams,B,"On paper, Patrick Williams possesses everything every team needs. A powerfully built 6-7 combo forward, Williams can do a little bit of everything offensively, including flashes of an emerging pick-and-roll game and encouraging range on his jump shot. He chose to attend Florida State specifically to become a better defensive player, where his upside on that end is ""potential All-Defensive Team selection."" However, he doesn't dominate on either end the way one would hope, given his physical tools. He didn't start for the Seminoles (he was the ACC Sixth Man of the Year, but still) and he doesn't command possessions the way the NBA's best wing players do. Does Williams top out as a high-level role player, or is there room for something special? He's more athletic and brings a higher upside than Otto Porter to the Bulls. His skillset provides a nice counterpoint to Lauri Markkanen."
5,2020,Cleveland,Isaac Okoro,B,"Imagine if an M-80 could play small forward. That's what it's like watching Isaac Okoro bully unsuspecting SEC wings last year. He plays much bigger than 6-6, due to his 8-5 standing reach and his impressive athleticism. If you consider motor a skill (I do), Okoro has the ability to play at or near his maximum effort level for much longer than most wing players. That motor helps him defensively, as well – he isn't a ""gambler"" who will rack up huge steal numbers, but he knows where to go and how to hound ball-handlers on the perimeter. He has All-Defensive Team type of potential. His offensive skill level is still a little ways off, and his subpar shooting percentages are cause for concern (28% from 3, 67% from the line), but his combination of youth, athleticism, and effort level make him a worthy selection here. Look for him to have a similar NBA trajectory to that of Miles Bridges in Charlotte."
6,2020,Atlanta,Onyeka Okongwu,A,"Onyeka Okongwu passes the eye test – and then some. He turns 20 in a month, but he has the physical frame of a full-grown NBA veteran. He might give up a little in height and bulk to the truly large NBA centers, but otherwise, he is the ideal modern big defender. He can blow up any pick and roll and protect the rim with the best of them – a rare combination of skills. Okongwu might have the highest defensive upside of anyone in this draft. He remains raw offensively and doesn't possess the all-around floor game of Bam Adebayo (very few players do), but he is a high-efficiency player who doesn't attempt to do anything he can't do. His defensive ability alone will be enough for him to earn playing time while he develops the rest of his offensive skillset. Okongwu is a fascinating front-court partner for the lean and skilled John Collins in Atlanta, and he will bring some much-needed toughness and defensive intensity to the Hawks."
7,2020,Detroit,Killian Hayes,B,"Slick lefties who live in the lane will always have a spot on my team. Killian Hayes might be the shiftiest player in this draft. He can start and stop on a dime and make second- and third-level passes off the bounce with either hand. He can make almost any play a team would need out of the pick and roll, as he has improved significantly as a pull-up shooter. Skeptics would say that much of his best play has come against competition that isn't as stiff as the NBA athletes he'll face, and Hayes might not have the explosion he needs to get his herky-jerky game going. Look for Hayes to develop into a Caris LeVert/Spencer Dinwiddie type of rangy playmaker who thrives with the ball in his hands. The Pistons desperately need anyone who can make something happen off the bounce, so Hayes will get an immediate opportunity to make an impact in Detroit. As much as we like Hayes and his upside, are the Pistons going to regret passing on Tyrese Haliburton here?"
8,2020,New York,Obi Toppin,A-,"Obi Toppin submitted the best college basketball season out of anyone in this draft. It isn't particularly close, either. Nobody in this draft has his flair for the dramatic dunk. No big man can stay in front of him on his pump-and-go game, thanks in large part to his surprisingly solid shooting range (39% from 3 last year). If you squint, you can see flashes of prime Amare Stoudemire in his game. However, he is far more stiff in his movements than one would expect from such a high-level athlete. It has nothing to do with lack of awareness or his basketball IQ, either. He just doesn't move the way you would want him to, especially defensively. At age 22 (23 in March), it's unclear whether that will improve much, either. Look for Toppin to have a similar rookie season to that of Brandon Clarke, who finished fourth in Rookie of the Year voting and tallied a PER of nearly 21 in 22 minutes per game for the Memphis Grizzlies. The Knicks must be thrilled. Rumor has it they were looking to trade up to secure Toppin. They didn't have to."
9,2020,Washington,Deni Avdija,B+,"We can all stop with the Luka Doncic comparisons here, but it is fair to project Deni Avdija's upside to that of 2009 Hedo Turkoglu. People seem to forget that Turkoglu was the lead ball handler and decision maker on a team that made the NBA Finals. Avdija is a whiz with the ball in his hands, and at 6-9, he can survey the defense and make plays smaller players simply cannot see. He is much more active on defense than one would expect, given his subpar length and athleticism, so it's unlikely that he will get played off the floor due to defensive deficiencies. The real concern with Avdija is whether he can make enough perimeter jumpers to keep defenses honest. He is a poor foul shooter (56%) for a high-usage ball handler. If the jumper never comes, he will be less like Turkoglu and more like Dario Saric, who is still bouncing around the league trying to find his fit. It seemed unlikely that Avdija would drop this far, so the Wizards have to be thrilled to snag him here. Will he be enough to convince Bradley Beal to play the rest of his prime in DC?"
10,2020,Phoenix,Jalen Smith,B-,"Jalen Smith – one of college basketball's most versatile and productive big men – put up strong counting stats in a variety of categories as a sophomore. He made an impressive leap across the board after an intriguing freshman campaign, but the most eye-opening improvement came in the 3-point column – 27% to 37% on nearly 3 attempts per game. Smith gets after it on the glass and provides well-above-average rim protection (2.4 blocks per game), but his main challenge at the next level will be whether he can improve upon his stiff, sometimes robotic movements when he's in space. Smith has had trouble adding bulk to his lower body, so he might struggle against stronger post players. But he is a high-character, high-IQ player with a tremendous work ethic and considerable upside. He is a slight reach at No. 10, but he will benefit tremendously from starting his NBA career with a point guard like Chris Paul."
